case_id,date,justice,gender,gender_binary,role,is_chief,interruptions_made,interruptions_received,words_spoken,turns,case_duration
2020-01-16--38682,2020-01-16,Rowe,M,0,Puisne Justice,0,1,0,787,23,14948
2020-01-16--38682,2020-01-16,Wagner,M,0,Chief Justice,1,6,16,625,37,14948
2020-01-16--38682,2020-01-16,Brown,M,0,Puisne Justice,0,5,1,667,21,14948
2020-01-16--38682,2020-01-16,Kasirer,M,0,Puisne Justice,0,3,1,568,9,14948
2020-01-16--38682,2020-01-16,Abella,F,1,Puisne Justice,0,5,2,1277,28,14948
2020-01-16--38682,2020-01-16,Karakatsanis,F,1,Puisne Justice,0,2,0,405,6,14948
2020-01-16--38682,2020-01-16,Martin,F,1,Puisne Justice,0,3,0,806,16,14948
2020-01-17--38739,2020-01-17,Karakatsanis,F,1,Puisne Justice,0,1,0,419,18,4217
2020-01-17--38739,2020-01-17,Rowe,M,0,Puisne Justice,0,1,0,327,8,4217
2020-01-17--38739,2020-01-17,Brown,M,0,Puisne Justice,0,2,0,516,11,4217
2020-01-17--38739,2020-01-17,Kasirer,M,0,Puisne Justice,0,1,0,733,11,4217
2020-01-17--38739,2020-01-17,Martin,F,1,Puisne Justice,0,0,0,217,5,4217
2020-01-20--38571,2020-01-20,Brown,M,0,Puisne Justice,0,4,1,268,13,8161
2020-01-20--38571,2020-01-20,Wagner,M,0,Chief Justice,1,4,4,76,10,8161
2020-01-20--38571,2020-01-20,Karakatsanis,F,1,Puisne Justice,0,1,2,448,10,8161
2020-01-20--38571,2020-01-20,Rowe,M,0,Puisne Justice,0,1,0,753,10,8161
2020-01-20--38571,2020-01-20,Kasirer,M,0,Puisne Justice,0,2,3,432,12,8161
2020-01-20--38571,2020-01-20,Abella,F,1,Puisne Justice,0,4,0,408,16,8161
2020-01-20--38571,2020-01-20,Martin,F,1,Puisne Justice,0,8,0,981,18,8161
2020-01-20--38571,2020-01-20,speakers,,0,,0,0,0,1,1,8161
2020-01-21--38544,2020-01-21,Wagner,M,0,Chief Justice,1,1,0,381,9,7686
2020-01-21--38544,2020-01-21,Martin,F,1,Puisne Justice,0,0,0,452,1,7686
2020-01-21--38544,2020-01-21,Kasirer,M,0,Puisne Justice,0,6,0,1538,36,7686
2020-01-22--38613,2020-01-22,Wagner,M,0,Chief Justice,1,4,7,1139,27,9458
2020-01-22--38613,2020-01-22,Abella,F,1,Puisne Justice,0,1,1,214,5,9458
2020-01-22--38613,2020-01-22,Brown,M,0,Puisne Justice,0,3,0,267,12,9458
2020-01-22--38613,2020-01-22,Kasirer,M,0,Puisne Justice,0,3,1,1003,15,9458
2020-01-22--38613,2020-01-22,Karakatsanis,F,1,Puisne Justice,0,1,0,136,4,9458
2020-01-22--38613,2020-01-22,Rowe,M,0,Puisne Justice,0,0,0,140,4,9458
2020-01-22--38613,2020-01-22,Martin,F,1,Puisne Justice,0,0,1,427,6,9458
2020-01-23--38594,2020-01-23,Wagner,M,0,Chief Justice,1,4,2,700,24,9284
2020-01-23--38594,2020-01-23,Kasirer,M,0,Puisne Justice,0,0,1,656,13,9284
2020-01-23--38594,2020-01-23,Rowe,M,0,Puisne Justice,0,3,1,923,15,9284
2020-01-23--38594,2020-01-23,Moldaver,M,0,Puisne Justice,0,1,1,618,7,9284
2020-01-23--38594,2020-01-23,Karakatsanis,F,1,Puisne Justice,0,2,1,67,4,9284
2020-01-23--38594,2020-01-23,Abella,F,1,Puisne Justice,0,0,0,114,4,9284
2020-02-18--38577,2020-02-18,Wagner,M,0,Chief Justice,1,1,2,68,5,4086
2020-02-18--38577,2020-02-18,Brown,M,0,Puisne Justice,0,4,2,632,15,4086
2020-02-18--38577,2020-02-18,Rowe,M,0,Puisne Justice,0,1,0,392,5,4086
2020-02-18--38577,2020-02-18,Moldaver,M,0,Puisne Justice,0,3,0,1142,14,4086
2020-02-18--38577,2020-02-18,Kasirer,M,0,Puisne Justice,0,0,0,53,2,4086
2020-02-18--38577,2020-02-18,Abella,F,1,Puisne Justice,0,0,0,71,2,4086
2020-02-18--38577,2020-02-18,Karakatsanis,F,1,Puisne Justice,0,0,0,264,4,4086
2020-02-20--38585,2020-02-20,Wagner,M,0,Chief Justice,1,3,4,97,12,9746
2020-02-20--38585,2020-02-20,Rowe,M,0,Puisne Justice,0,1,0,796,16,9746
2020-02-20--38585,2020-02-20,Karakatsanis,F,1,Puisne Justice,0,6,0,633,13,9746
2020-02-20--38585,2020-02-20,Brown,M,0,Puisne Justice,0,3,2,686,20,9746
2020-02-20--38585,2020-02-20,Moldaver,M,0,Puisne Justice,0,3,2,1291,17,9746
2020-02-20--38585,2020-02-20,Abella,F,1,Puisne Justice,0,5,1,784,18,9746
2020-02-20--38585,2020-02-20,Martin,F,1,Puisne Justice,0,2,1,651,7,9746
2020-02-20--38585,2020-02-20,Kasirer,M,0,Puisne Justice,0,1,0,215,6,9746
2020-02-20--38585,2020-02-20,3,,0,,0,0,0,40,1,9746
2020-06-09--38741,2020-06-09,Wagner,M,0,Chief Justice,1,2,4,552,9,8293
2020-06-09--38741,2020-06-09,Abella,F,1,Puisne Justice,0,2,1,347,8,8293
2020-06-09--38741,2020-06-09,Kasirer,M,0,Puisne Justice,0,0,1,139,4,8293
2020-06-09--38741,2020-06-09,Karakatsanis,F,1,Puisne Justice,0,1,0,233,7,8293
2020-06-09--38741,2020-06-09,Brown,M,0,Puisne Justice,0,3,2,760,20,8293
2020-06-09--38741,2020-06-09,Rowe,M,0,Puisne Justice,0,1,0,360,6,8293
2020-06-09--38741,2020-06-09,Martin,F,1,Puisne Justice,0,1,0,200,2,8293
2020-06-10--37984,2020-06-10,Wagner,M,0,Chief Justice,1,1,2,1174,21,4871
2020-06-10--37984,2020-06-10,Brown,M,0,Puisne Justice,0,1,1,69,4,4871
2020-06-10--37984,2020-06-10,Kasirer,M,0,Puisne Justice,0,0,0,373,3,4871
2020-06-12--38984,2020-06-12,Wagner,M,0,Chief Justice,1,0,0,197,4,2228
2020-06-12--38984,2020-06-12,Abella,F,1,Puisne Justice,0,0,0,249,7,2228
2020-06-12--38984,2020-06-12,Moldaver,M,0,Puisne Justice,0,0,0,376,4,2228
2020-06-12--38984,2020-06-12,speakers,,0,,0,0,0,2,1,2228
2020-09-22--38663-38781-39116,2020-09-22,Wagner,M,0,Chief Justice,1,3,1,575,16,15925
2020-09-22--38663-38781-39116,2020-09-22,Brown,M,0,Puisne Justice,0,6,2,1588,35,15925
2020-09-22--38663-38781-39116,2020-09-22,Abella,F,1,Puisne Justice,0,1,1,684,18,15925
2020-09-22--38663-38781-39116,2020-09-22,Rowe,M,0,Puisne Justice,0,1,1,1777,30,15925
2020-09-22--38663-38781-39116,2020-09-22,Karakatsanis,F,1,Puisne Justice,0,3,1,815,12,15925
2020-09-22--38663-38781-39116,2020-09-22,Moldaver,M,0,Puisne Justice,0,2,0,1539,13,15925
2020-09-22--38663-38781-39116,2020-09-22,Côté,F,1,Puisne Justice,0,0,0,487,9,15925
2020-09-22--38663-38781-39116,2020-09-22,Kasirer,M,0,Puisne Justice,0,1,0,306,9,15925
2020-09-22--38663-38781-39116,2020-09-22,3,,0,,0,0,0,234,1,15925
2020-09-22--38663-38781-39116,2020-09-22,6,,0,,0,1,1,52,1,15925
2020-09-22--38663-38781-39116,2020-09-22,Martin,F,1,Puisne Justice,0,0,0,272,5,15925
2020-09-23--38663-38781-39116,2020-09-23,Wagner,M,0,Chief Justice,1,3,9,770,26,12087
2020-09-23--38663-38781-39116,2020-09-23,Côté,F,1,Puisne Justice,0,0,0,231,6,12087
2020-09-23--38663-38781-39116,2020-09-23,Kasirer,M,0,Puisne Justice,0,0,0,138,2,12087
2020-09-23--38663-38781-39116,2020-09-23,Brown,M,0,Puisne Justice,0,2,4,514,16,12087
2020-09-23--38663-38781-39116,2020-09-23,Abella,F,1,Puisne Justice,0,0,0,94,3,12087
2020-09-23--38663-38781-39116,2020-09-23,Moldaver,M,0,Puisne Justice,0,0,0,264,2,12087
2020-09-23--38663-38781-39116,2020-09-23,Rowe,M,0,Puisne Justice,0,1,0,221,8,12087
2020-09-23--38663-38781-39116,2020-09-23,Karakatsanis,F,1,Puisne Justice,0,0,0,94,2,12087
2020-09-23--38663-38781-39116,2020-09-23,20,,0,,0,0,1,502,1,12087
2020-09-24--38837,2020-09-24,Wagner,M,0,Chief Justice,1,6,5,3671,56,15879
2020-09-24--38837,2020-09-24,Martin,F,1,Puisne Justice,0,0,0,76,2,15879
2020-09-24--38837,2020-09-24,Rowe,M,0,Puisne Justice,0,1,0,392,6,15879
2020-09-24--38837,2020-09-24,Moldaver,M,0,Puisne Justice,0,0,0,395,2,15879
2020-09-24--38837,2020-09-24,Karakatsanis,F,1,Puisne Justice,0,1,0,337,6,15879
2020-09-24--38837,2020-09-24,Abella,F,1,Puisne Justice,0,1,0,136,3,15879
2020-10-06--38695,2020-10-06,Martin,F,1,Puisne Justice,0,1,0,893,13,10186
2020-10-06--38695,2020-10-06,Wagner,M,0,Chief Justice,1,0,4,219,12,10186
2020-10-06--38695,2020-10-06,Rowe,M,0,Puisne Justice,0,0,1,428,17,10186
2020-10-06--38695,2020-10-06,Brown,M,0,Puisne Justice,0,3,0,919,21,10186
2020-10-06--38695,2020-10-06,Karakatsanis,F,1,Puisne Justice,0,1,0,311,8,10186
2020-10-06--38695,2020-10-06,Kasirer,M,0,Puisne Justice,0,1,0,611,10,10186
2020-10-06--38695,2020-10-06,6,,0,,0,0,0,760,1,10186
2020-10-06--38695,2020-10-06,speakers,,0,,0,0,0,3,1,10186
2020-10-07--39062-38861,2020-10-07,Wagner,M,0,Chief Justice,1,9,12,673,43,19250
2020-10-07--39062-38861,2020-10-07,Rowe,M,0,Puisne Justice,0,4,1,378,10,19250
2020-10-07--39062-38861,2020-10-07,Abella,F,1,Puisne Justice,0,1,0,819,15,19250
2020-10-07--39062-38861,2020-10-07,Brown,M,0,Puisne Justice,0,7,2,1940,41,19250
2020-10-07--39062-38861,2020-10-07,Martin,F,1,Puisne Justice,0,10,2,3858,49,19250
2020-10-07--39062-38861,2020-10-07,Côté,F,1,Puisne Justice,0,1,0,324,6,19250
2020-10-07--39062-38861,2020-10-07,Karakatsanis,F,1,Puisne Justice,0,4,1,1184,18,19250
2020-10-07--39062-38861,2020-10-07,6,,0,,0,1,1,6,1,19250
2020-10-07--39062-38861,2020-10-07,7,,0,,0,1,1,264,1,19250
2020-10-07--39062-38861,2020-10-07,speakers,,0,,0,0,0,24,3,19250
2020-10-07--39062-38861,2020-10-07,5,,0,,0,1,1,1,1,19250
2020-10-07--39062-38861,2020-10-07,Moldaver,M,0,Puisne Justice,0,0,0,82,1,19250
2020-10-08--38734,2020-10-08,Wagner,M,0,Chief Justice,1,3,10,203,25,14775
2020-10-08--38734,2020-10-08,Rowe,M,0,Puisne Justice,0,0,0,1357,15,14775
2020-10-08--38734,2020-10-08,Brown,M,0,Puisne Justice,0,5,3,1351,27,14775
2020-10-08--38734,2020-10-08,Abella,F,1,Puisne Justice,0,2,2,701,19,14775
2020-10-08--38734,2020-10-08,Martin,F,1,Puisne Justice,0,2,1,865,12,14775
2020-10-08--38734,2020-10-08,Karakatsanis,F,1,Puisne Justice,0,2,1,272,8,14775
2020-10-08--38734,2020-10-08,Kasirer,M,0,Puisne Justice,0,1,0,223,3,14775
2020-10-13--38785,2020-10-13,Wagner,M,0,Chief Justice,1,7,7,588,30,10194
2020-10-13--38785,2020-10-13,Kasirer,M,0,Puisne Justice,0,1,0,691,7,10194
2020-10-13--38785,2020-10-13,Rowe,M,0,Puisne Justice,0,3,1,467,9,10194
2020-10-13--38785,2020-10-13,Moldaver,M,0,Puisne Justice,0,5,2,1838,25,10194
2020-10-13--38785,2020-10-13,Brown,M,0,Puisne Justice,0,8,1,696,17,10194
2020-10-13--38785,2020-10-13,Abella,F,1,Puisne Justice,0,1,0,643,12,10194
2020-10-13--38785,2020-10-13,Martin,F,1,Puisne Justice,0,1,0,428,5,10194
2020-10-13--38785,2020-10-13,Karakatsanis,F,1,Puisne Justice,0,4,0,511,10,10194
2020-10-14--38801,2020-10-14,Rowe,M,0,Puisne Justice,0,1,2,722,10,7444
2020-10-14--38801,2020-10-14,Karakatsanis,F,1,Puisne Justice,0,2,1,172,6,7444
2020-10-14--38801,2020-10-14,Wagner,M,0,Chief Justice,1,0,1,39,5,7444
2020-10-14--38801,2020-10-14,Moldaver,M,0,Puisne Justice,0,5,0,991,14,7444
2020-10-14--38801,2020-10-14,Brown,M,0,Puisne Justice,0,3,0,1037,16,7444
2020-10-14--38801,2020-10-14,Kasirer,M,0,Puisne Justice,0,1,0,121,3,7444
2020-10-14--38801,2020-10-14,Martin,F,1,Puisne Justice,0,1,1,579,9,7444
2020-10-14--38801,2020-10-14,Abella,F,1,Puisne Justice,0,4,2,730,18,7444
2020-10-15--38687,2020-10-15,Wagner,M,0,Chief Justice,1,3,5,255,14,10387
2020-10-15--38687,2020-10-15,Brown,M,0,Puisne Justice,0,2,3,1393,31,10387
2020-10-15--38687,2020-10-15,Moldaver,M,0,Puisne Justice,0,4,3,1119,17,10387
2020-10-15--38687,2020-10-15,Karakatsanis,F,1,Puisne Justice,0,1,1,587,10,10387
2020-10-15--38687,2020-10-15,Rowe,M,0,Puisne Justice,0,0,0,194,3,10387
2020-10-15--38687,2020-10-15,Kasirer,M,0,Puisne Justice,0,0,0,124,2,10387
2020-10-15--38687,2020-10-15,Abella,F,1,Puisne Justice,0,0,0,851,15,10387
2020-10-15--38687,2020-10-15,6,,0,,0,0,0,453,1,10387
2020-11-03--39006,2020-11-03,Brown,M,0,Puisne Justice,0,3,2,417,13,4077
2020-11-03--39006,2020-11-03,Karakatsanis,F,1,Puisne Justice,0,1,1,724,11,4077
2020-11-03--39006,2020-11-03,Kasirer,M,0,Puisne Justice,0,0,0,73,1,4077
2020-11-03--39006,2020-11-03,Martin,F,1,Puisne Justice,0,0,0,305,4,4077
2020-11-04--38808,2020-11-04,Wagner,M,0,Chief Justice,1,1,0,208,7,8472
2020-11-04--38808,2020-11-04,Abella,F,1,Puisne Justice,0,2,0,1319,20,8472
2020-11-04--38808,2020-11-04,1,,0,,0,0,0,367,1,8472
2020-11-04--38808,2020-11-04,Brown,M,0,Puisne Justice,0,2,0,576,11,8472
2020-11-04--38808,2020-11-04,Karakatsanis,F,1,Puisne Justice,0,3,0,354,4,8472
2020-11-04--38808,2020-11-04,Martin,F,1,Puisne Justice,0,3,0,645,8,8472
2020-11-04--38808,2020-11-04,Rowe,M,0,Puisne Justice,0,0,0,148,2,8472
2020-11-04--38808,2020-11-04,Moldaver,M,0,Puisne Justice,0,0,0,1016,7,8472
2020-11-04--38808,2020-11-04,Kasirer,M,0,Puisne Justice,0,1,0,371,6,8472
2020-11-05--38962,2020-11-05,Rowe,M,0,Puisne Justice,0,1,1,514,7,5347
2020-11-05--38962,2020-11-05,Moldaver,M,0,Puisne Justice,0,1,1,2150,20,5347
2020-11-05--38962,2020-11-05,Kasirer,M,0,Puisne Justice,0,0,0,199,6,5347
2020-11-05--38962,2020-11-05,Martin,F,1,Puisne Justice,0,0,0,668,3,5347
2020-11-05--39019,2020-11-05,Abella,F,1,Puisne Justice,0,4,2,873,20,5340
2020-11-05--39019,2020-11-05,Brown,M,0,Puisne Justice,0,0,1,321,10,5340
2020-11-05--39019,2020-11-05,Kasirer,M,0,Puisne Justice,0,0,0,381,4,5340
2020-11-05--39019,2020-11-05,Martin,F,1,Puisne Justice,0,1,0,231,4,5340
2020-11-06--38870,2020-11-06,Rowe,M,0,Puisne Justice,0,1,0,530,7,4946
2020-11-06--38870,2020-11-06,Wagner,M,0,Chief Justice,1,1,3,137,10,4946
2020-11-06--38870,2020-11-06,Brown,M,0,Puisne Justice,0,1,1,675,12,4946
2020-11-06--38870,2020-11-06,Moldaver,M,0,Puisne Justice,0,0,0,995,8,4946
2020-11-06--38870,2020-11-06,Martin,F,1,Puisne Justice,0,0,0,94,1,4946
2020-11-06--38870,2020-11-06,Karakatsanis,F,1,Puisne Justice,0,1,1,27,2,4946
2020-11-09--38944,2020-11-09,Wagner,M,0,Chief Justice,1,1,1,38,4,2059
2020-11-09--38944,2020-11-09,2,,0,,0,0,1,321,1,2059
2020-11-09--38944,2020-11-09,Martin,F,1,Puisne Justice,0,0,0,68,2,2059
2020-11-09--38944,2020-11-09,Moldaver,M,0,Puisne Justice,0,1,1,362,7,2059
2020-11-09--38944,2020-11-09,Rowe,M,0,Puisne Justice,0,1,0,138,2,2059
2020-11-09--38944,2020-11-09,Karakatsanis,F,1,Puisne Justice,0,0,1,144,2,2059
2020-11-10--38546,2020-11-10,Wagner,M,0,Chief Justice,1,2,5,94,12,9819
2020-11-10--38546,2020-11-10,1,,0,,0,0,1,352,1,9819
2020-11-10--38546,2020-11-10,Abella,F,1,Puisne Justice,0,5,0,1924,32,9819
2020-11-10--38546,2020-11-10,Kasirer,M,0,Puisne Justice,0,1,0,253,5,9819
2020-11-10--38546,2020-11-10,Karakatsanis,F,1,Puisne Justice,0,1,0,503,8,9819
2020-11-10--38546,2020-11-10,Moldaver,M,0,Puisne Justice,0,3,0,1278,22,9819
2020-11-10--38546,2020-11-10,Brown,M,0,Puisne Justice,0,2,1,615,15,9819
2020-11-10--38546,2020-11-10,Rowe,M,0,Puisne Justice,0,0,0,320,8,9819
2020-11-10--38546,2020-11-10,Martin,F,1,Puisne Justice,0,0,0,351,7,9819
2020-11-12--38755,2020-11-12,Wagner,M,0,Chief Justice,1,3,3,819,23,8055
2020-11-12--38755,2020-11-12,Kasirer,M,0,Puisne Justice,0,5,0,1226,18,8055
2020-11-12--38755,2020-11-12,Brown,M,0,Puisne Justice,0,0,0,23,2,8055
2020-11-13--38854,2020-11-13,Wagner,M,0,Chief Justice,1,1,2,207,12,8426
2020-11-13--38854,2020-11-13,Rowe,M,0,Puisne Justice,0,1,1,635,11,8426
2020-11-13--38854,2020-11-13,Brown,M,0,Puisne Justice,0,4,1,608,15,8426
2020-11-13--38854,2020-11-13,Moldaver,M,0,Puisne Justice,0,1,1,2623,20,8426
2020-11-13--38854,2020-11-13,Abella,F,1,Puisne Justice,0,1,1,102,6,8426
2020-11-13--38854,2020-11-13,Karakatsanis,F,1,Puisne Justice,0,1,0,395,7,8426
2020-11-13--38854,2020-11-13,speakers,,0,,0,0,0,3,1,8426
2020-11-13--38854,2020-11-13,Martin,F,1,Puisne Justice,0,0,0,374,4,8426
2020-12-01--38871,2020-12-01,Rowe,M,0,Puisne Justice,0,3,3,1097,18,8977
2020-12-01--38871,2020-12-01,Wagner,M,0,Chief Justice,1,1,5,97,13,8977
2020-12-01--38871,2020-12-01,Brown,M,0,Puisne Justice,0,3,0,1267,12,8977
2020-12-01--38871,2020-12-01,Abella,F,1,Puisne Justice,0,0,1,647,11,8977
2020-12-01--38871,2020-12-01,Karakatsanis,F,1,Puisne Justice,0,4,1,805,8,8977
2020-12-01--38871,2020-12-01,Moldaver,M,0,Puisne Justice,0,3,1,941,14,8977
2020-12-01--38871,2020-12-01,Kasirer,M,0,Puisne Justice,0,1,0,226,3,8977
2020-12-01--38871,2020-12-01,Martin,F,1,Puisne Justice,0,1,1,287,5,8977
2020-12-01--38871,2020-12-01,6,,0,,0,1,0,481,1,8977
2020-12-02--39163,2020-12-02,Brown,M,0,Puisne Justice,0,1,1,479,9,4225
2020-12-02--39163,2020-12-02,Abella,F,1,Puisne Justice,0,4,4,507,19,4225
2020-12-02--39163,2020-12-02,Moldaver,M,0,Puisne Justice,0,1,0,1325,12,4225
2020-12-02--39163,2020-12-02,Kasirer,M,0,Puisne Justice,0,0,0,47,1,4225
2020-12-02--39163,2020-12-02,Karakatsanis,F,1,Puisne Justice,0,0,0,152,1,4225
2020-12-03--38904,2020-12-03,Wagner,M,0,Chief Justice,1,5,3,1003,23,7529
2020-12-03--38904,2020-12-03,Kasirer,M,0,Puisne Justice,0,1,0,867,12,7529
2020-12-04--39109,2020-12-04,Rowe,M,0,Puisne Justice,0,0,0,218,6,5393
2020-12-04--39109,2020-12-04,Abella,F,1,Puisne Justice,0,5,1,1004,27,5393
2020-12-04--39109,2020-12-04,Kasirer,M,0,Puisne Justice,0,0,0,455,6,5393
2020-12-04--39109,2020-12-04,Martin,F,1,Puisne Justice,0,2,0,243,5,5393
2020-12-04--39109,2020-12-04,Brown,M,0,Puisne Justice,0,2,0,793,11,5393
2020-12-07--38938,2020-12-07,Brown,M,0,Puisne Justice,0,0,1,46,5,6457
2020-12-07--38938,2020-12-07,Wagner,M,0,Chief Justice,1,5,3,474,21,6457
2020-12-07--38938,2020-12-07,Kasirer,M,0,Puisne Justice,0,0,0,313,6,6457
2020-12-07--38938,2020-12-07,Côté,F,1,Puisne Justice,0,1,0,2,1,6457
2020-12-08--38795,2020-12-08,Wagner,M,0,Chief Justice,1,3,14,471,32,14471
2020-12-08--38795,2020-12-08,Brown,M,0,Puisne Justice,0,3,0,2109,24,14471
2020-12-08--38795,2020-12-08,Rowe,M,0,Puisne Justice,0,4,0,1560,19,14471
2020-12-08--38795,2020-12-08,Moldaver,M,0,Puisne Justice,0,1,0,1047,10,14471
2020-12-08--38795,2020-12-08,Martin,F,1,Puisne Justice,0,0,0,360,4,14471
2020-12-08--38795,2020-12-08,Kasirer,M,0,Puisne Justice,0,0,0,150,3,14471
2020-12-08--38795,2020-12-08,Karakatsanis,F,1,Puisne Justice,0,2,1,732,11,14471
2020-12-08--38795,2020-12-08,Abella,F,1,Puisne Justice,0,1,0,229,4,14471
2020-12-08--38795,2020-12-08,2,,0,,0,0,0,92,1,14471
2020-12-09--39094,2020-12-09,Wagner,M,0,Chief Justice,1,8,8,85,14,9488
2020-12-09--39094,2020-12-09,Rowe,M,0,Puisne Justice,0,0,0,517,10,9488
2020-12-09--39094,2020-12-09,Brown,M,0,Puisne Justice,0,4,1,1053,22,9488
2020-12-09--39094,2020-12-09,Kasirer,M,0,Puisne Justice,0,0,1,594,13,9488
2020-12-09--39094,2020-12-09,Abella,F,1,Puisne Justice,0,1,0,1119,16,9488
2020-12-09--39094,2020-12-09,Karakatsanis,F,1,Puisne Justice,0,0,0,100,1,9488
2020-12-09--39094,2020-12-09,Martin,F,1,Puisne Justice,0,0,0,128,2,9488
2020-12-09--39094,2020-12-09,1,,0,,0,1,1,2,1,9488
2020-12-10--39114,2020-12-10,Wagner,M,0,Chief Justice,1,0,2,182,6,2369
2020-12-10--39114,2020-12-10,Moldaver,M,0,Puisne Justice,0,0,0,486,3,2369
2020-12-10--39114,2020-12-10,Abella,F,1,Puisne Justice,0,1,0,177,3,2369
2020-12-10--39114,2020-12-10,Rowe,M,0,Puisne Justice,0,0,0,282,1,2369
2020-12-11--39084,2020-12-11,Martin,F,1,Puisne Justice,0,0,0,466,9,4698
2020-12-11--39084,2020-12-11,Abella,F,1,Puisne Justice,0,1,1,573,15,4698
2020-12-11--39084,2020-12-11,Kasirer,M,0,Puisne Justice,0,1,0,464,5,4698
2020-12-11--39084,2020-12-11,Rowe,M,0,Puisne Justice,0,0,0,595,9,4698
2020-12-11--39084,2020-12-11,Karakatsanis,F,1,Puisne Justice,0,1,0,479,8,4698
2021-01-18--39049,2021-01-18,Wagner,M,0,Chief Justice,1,1,3,221,10,6968
2021-01-18--39049,2021-01-18,Brown,M,0,Puisne Justice,0,5,3,1619,26,6968
2021-01-18--39049,2021-01-18,Rowe,M,0,Puisne Justice,0,1,1,222,4,6968
2021-01-18--39049,2021-01-18,Abella,F,1,Puisne Justice,0,1,2,600,14,6968
2021-01-18--39049,2021-01-18,Karakatsanis,F,1,Puisne Justice,0,1,0,26,1,6968
2021-01-18--39049,2021-01-18,Martin,F,1,Puisne Justice,0,1,0,478,3,6968
2021-01-19--39110,2021-01-19,Wagner,M,0,Chief Justice,1,0,2,79,7,4464
2021-01-19--39110,2021-01-19,Jamal,M,0,Puisne Justice,0,0,0,357,1,4464
2021-01-19--39110,2021-01-19,Moldaver,M,0,Puisne Justice,0,3,2,2107,23,4464
2021-01-19--39110,2021-01-19,Rowe,M,0,Puisne Justice,0,1,0,232,3,4464
2021-01-19--39110,2021-01-19,Brown,M,0,Puisne Justice,0,0,1,325,8,4464
2021-01-19--39110,2021-01-19,Abella,F,1,Puisne Justice,0,0,0,29,1,4464
2021-01-19--39110,2021-01-19,Karakatsanis,F,1,Puisne Justice,0,1,0,30,1,4464
2021-01-19--39110,2021-01-19,Kasirer,M,0,Puisne Justice,0,1,0,121,1,4464
2021-01-21--39134,2021-01-21,Wagner,M,0,Chief Justice,1,1,1,196,4,2844
2021-01-21--39134,2021-01-21,Moldaver,M,0,Puisne Justice,0,1,1,942,11,2844
2021-01-21--39134,2021-01-21,Kasirer,M,0,Puisne Justice,0,0,0,175,2,2844
2021-01-21--39134,2021-01-21,Karakatsanis,F,1,Puisne Justice,0,3,0,429,7,2844
2021-01-21--39134,2021-01-21,Brown,M,0,Puisne Justice,0,1,1,190,5,2844
2021-01-22--39214,2021-01-22,Wagner,M,0,Chief Justice,1,2,3,174,9,4169
2021-01-22--39214,2021-01-22,Rowe,M,0,Puisne Justice,0,1,0,509,6,4169
2021-01-22--39214,2021-01-22,1,,0,,0,0,0,132,1,4169
2021-01-22--39214,2021-01-22,Abella,F,1,Puisne Justice,0,0,0,539,8,4169
2021-01-22--39214,2021-01-22,speakers,,0,,0,0,0,3,1,4169
2021-01-22--39214,2021-01-22,Brown,M,0,Puisne Justice,0,2,1,594,10,4169
2021-01-22--39214,2021-01-22,Moldaver,M,0,Puisne Justice,0,0,0,841,11,4169
2021-01-22--39214,2021-01-22,Martin,F,1,Puisne Justice,0,1,0,217,4,4169
